,Tweet,Affect Dimension,Unnamed: 2
0, pouting face @chetan_bhagat  face with steam from nose  face with steam from nose  Right to speech... Its bitter truth. It's up to people who thinks negatively.,anger,
1,Low key Dro f*cked Molly like he had a point to prove lmao ‚ #InsecureHBOÙ #insecure #MollyOutHereWreckingHomes #repeatcycle,anger,
2,@TeleTransOne @eleganza_lily @FemFataleXX  That's like asking someone to back up a claim that toddlers throw temper tantrums. pouting face ,anger,
3,@F3Alpha #F3Roswell #Preblast\nI've  face with steam from nose  face with steam from nose been handed the keys to Roswell Area Park. See you in the gloom. Be ready to slip &amp; slide at 0530,anger,
4,Did they offend us and they want it to sound new??,anger,
5,"..either it could be free like bird or consumed by #rage and #hatered ,in both way you got to breathe until its time..",anger,
6,"Smartest way through any complex, hard &amp; lengthy negotiation is to #consult, not #insult - #BoJo please take note. Never too late to learn!",anger,
7,"Then he will speak to them in his wrath, and terrify them in his fury, saying 'As for me, I have set my King on Zion, my holy hill.'",anger,
8,"Yeah i might look weak when i forgive, but you know what? I pity more on those who hold the rage, hatred &amp; revenge inside. angry face  face with steam from nose ",anger,
9,No offense but I was team cap in civil war but I understood some of Tony's reasoning face with steam from nose  angry face ,anger,
10,"Honey, you hurt me the way the sun touches my skin today #Sinatra\n\n#quote #success",anger,
11,That maybe she just lost her job in the recession and is trying out a new career path,anger,
12,One chair is having the munchies. Are Alpacas edible? #afraid #WhattheFAC #SalientFAC #Salient2017,anger,
13,"Whoops! I see (&lt;---) it's time to move on to the news. Grab your â˜•ï¸, &amp; lets head out &amp; see (&lt;---) what ðŸ”¥'s are burning today.",anger,
14,"An email that will never be sent, a message that will remain unsaid, a voice never heard again. #loss #sorrow #Friends angry face ",anger,
15,"@DJVigilanteSA Don't fret! Twitter is here to ensure that I swear on 'em, without a civil war!!!",anger,
16,@JanclydeCEspino at one point this is what i wanted rba sa? hahaha pero di jud oy di jud â˜¹ what if ga humss ta? ðŸ˜­,anger,
17,@CaxtonSupport I'm sorry but I don't know what DM stands for. I know a PM ðŸ˜‚. But sadly not a DM. It won't create an account to find. angry face ,anger,
18,It's okay sus. Let that hurt go ðŸ¤— * that's me hugging ya bitter ass * ðŸ˜‚ðŸ˜‚ðŸ˜‚,anger,
19,@keithgeraghty Another example that you can summarise her papers with one word angry face ,anger,
20,@Haynsie75 Support Qld and you'd never be #angry angry face ,anger,
21,@DebRobson3 @vivaden3 Yep. Shopping. So exciting. ðŸ˜ face with steam from nose  face with rolling eyes  unamused face ,anger,
22,Saddest part about messing up both my legs/ankles? I miss heels. Being a 7fg giant was fun. #sadness pouting face ,anger,
23,@DiceMore I guess she got tired of her war on Tony that's been raging for about a year. pouting face ,anger,
24,Welp.. I hope y'all don't have animosity towards me &amp; find this new one. ðŸ‡ðŸ½â€â€ï¸ pouting face  angry face ,anger,
25,"He who. can suppress a moment's anger, may prevent many days' sorrow. Chinese Proverbs\n\n#MakingMEGATurkeyWithMcLisse",anger,
26,I've been awake for 451 days 23 hours and I'm sleepy and tired #weary #raspberrypi #nodered #bot #iot #sunshinecoast face with steam from nose  face with rolling eyes ,anger,
27,Noses are electric lime columbines are dimgray sugar is fiery and so on,anger,
28,"@KaiJest Â« crouch, as though she is about to attack. She launches herself into the air towards me and explode in tiny dazzling orbs of Â»",anger,
29,"The patients were increasingly protected during heart attacks, chains have encouraged smoke, anger and hundreds of new hospitals.",anger,
30,complainin bitcoin has dropped. The altcoin bubble has burst. Bitcoin cud go to $1800 mid/end July but will rise above previous highs\n#HODL angry face  unamused face ,anger,
31,i want to ruffle jungkook's hair.... this is so sad,anger,
32,@dtptraffic - @MCDdelhi has occupied one full lane for toll collection permanently resulting in traffic snarl everyday on UP Link Road,anger,
33,"Let go of resentment, it will hold you back, do not worry about what could of been, what is to come is what matters.",anger,
34,@mitchellvii @tomtomokie Yea but we won't do anything about it.,anger,
35,"ENTRYLOG: CSEternity- With time on my hands for half an hour, I feel slightly melancholy, for some reasonâ€¦.\n .",anger,
36,"Damn twitter making everybody mad, it's hilarious ðŸ˜‚",anger,
37,@WajSKhan Some jurono play very smart dont support truth but give opinion in a way tht ensures government dont feel offended pouting face ,anger,
38,"Dear fellow #humans do not fall in #despair ! Soon we'll #drink #beer in #satanists Ãlites skulls, #celebrating #end of #kakocracy ðŸ¬ face with rolling eyes ",anger,
