Tweet,Affect Dimension,
😡@chetan_bhagat 😤😤 Right to speech... Its bitter truth. It's up to people who thinks negatively.,anger,
Low key Dro f*cked Molly like he had a point to prove lmao ‚ #InsecureHBOÙ #insecure #MollyOutHereWreckingHomes #repeatcycle,anger,
@TeleTransOne @eleganza_lily @FemFataleXX  That's like asking someone to back up a claim that toddlers throw temper tantrums.😡,anger,
@F3Alpha #F3Roswell #Preblast\nI've 😤😤been handed the keys to Roswell Area Park. See you in the gloom. Be ready to slip &amp; slide at 0530,anger,
Did they offend us and they want it to sound new??,anger,
"..either it could be free like bird or consumed by #rage and #hatered ,in both way you got to breathe until its time..",anger,
"Smartest way through any complex, hard &amp; lengthy negotiation is to #consult, not #insult - #BoJo please take note. Never too late to learn!",anger,
"Then he will speak to them in his wrath, and terrify them in his fury, saying 'As for me, I have set my King on Zion, my holy hill.'",anger,
"Yeah i might look weak when i forgive, but you know what? I pity more on those who hold the rage, hatred &amp; revenge inside.😠😤",anger,
No offense but I was team cap in civil war but I understood some of Tony's reasoning😤😠,anger,
"Honey, you hurt me the way the sun touches my skin today #Sinatra\n\n#quote #success",anger,
That maybe she just lost her job in the recession and is trying out a new career path,anger,
One chair is having the munchies. Are Alpacas edible? #afraid #WhattheFAC #SalientFAC #Salient2017,anger,
"Whoops! I see (&lt;---) it's time to move on to the news. Grab your â˜•ï¸, &amp; lets head out &amp; see (&lt;---) what ðŸ”¥'s are burning today.",anger,
"An email that will never be sent, a message that will remain unsaid, a voice never heard again. #loss #sorrow #Friends😠",anger,
"@DJVigilanteSA Don't fret! Twitter is here to ensure that I swear on 'em, without a civil war!!!",anger,
@JanclydeCEspino at one point this is what i wanted rba sa? hahaha pero di jud oy di jud â˜¹ what if ga humss ta? ðŸ˜­,anger,
@CaxtonSupport I'm sorry but I don't know what DM stands for. I know a PM ðŸ˜‚. But sadly not a DM. It won't create an account to find.😠,anger,
It's okay sus. Let that hurt go ðŸ¤— * that's me hugging ya bitter ass * ðŸ˜‚ðŸ˜‚ðŸ˜‚,anger,
@keithgeraghty Another example that you can summarise her papers with one word😠,anger,
@Haynsie75 Support Qld and you'd never be #angry😠,anger,
@DebRobson3 @vivaden3 Yep. Shopping. So exciting. ðŸ˜😤🙄😒,anger,
Saddest part about messing up both my legs/ankles? I miss heels. Being a 7fg giant was fun. #sadness😡,anger,
@DiceMore I guess she got tired of her war on Tony that's been raging for about a year.😡,anger,
Welp.. I hope y'all don't have animosity towards me &amp; find this new one. ðŸ‡ðŸ½â€â€ï¸😡😠,anger,
"He who. can suppress a moment's anger, may prevent many days' sorrow. Chinese Proverbs\n\n#MakingMEGATurkeyWithMcLisse",anger,
I've been awake for 451 days 23 hours and I'm sleepy and tired #weary #raspberrypi #nodered #bot #iot #sunshinecoast😤🙄,anger,
Noses are electric lime columbines are dimgray sugar is fiery and so on,anger,
"@KaiJest Â« crouch, as though she is about to attack. She launches herself into the air towards me and explode in tiny dazzling orbs of Â»",anger,
"The patients were increasingly protected during heart attacks, chains have encouraged smoke, anger and hundreds of new hospitals.",anger,
complainin bitcoin has dropped. The altcoin bubble has burst. Bitcoin cud go to $1800 mid/end July but will rise above previous highs\n#HODL😠😒,anger,
i want to ruffle jungkook's hair.... this is so sad,anger,
@dtptraffic - @MCDdelhi has occupied one full lane for toll collection permanently resulting in traffic snarl everyday on UP Link Road,anger,
"Let go of resentment, it will hold you back, do not worry about what could of been, what is to come is what matters.",anger,
@mitchellvii @tomtomokie Yea but we won't do anything about it.,anger,
"ENTRYLOG: CSEternity- With time on my hands for half an hour, I feel slightly melancholy, for some reasonâ€¦.\n .",anger,
"Damn twitter making everybody mad, it's hilarious ðŸ˜‚",anger,
@WajSKhan Some jurono play very smart dont support truth but give opinion in a way tht ensures government dont feel offended😡,anger,
"Dear fellow #humans do not fall in #despair ! Soon we'll #drink #beer in #satanists Ãlites skulls, #celebrating #end of #kakocracy ðŸ¬🙄",anger,
Daniel killing her ex doeeeðŸ«ðŸ«ðŸ«ðŸ˜› #insecure😒,anger,
I've developed a new philosophy... I only #dread one day at a time.😒,anger,
One day someone will change ur perspective from bitter to sweet from broken to complete😤,anger,
"@TheVintageYear growl like a dog, see if she lifts herself off and gives you space?",anger,
@DOBrienAJC What did you do to rile up all the Roberts?,anger,
@MobutuJoffrey @dreamloverepeat Did you see it? It's literally all porn. Does she really work for huff post?,anger,
#ColorFabb #Ngen Worst filament for me :( Good finish but so fragile :'( cc @ColorFabb,anger,
I'm a talkative person but how does the scowl on my face at 7 am lead my neighbors to believe that now is the time for conversation?,anger,
@SimonHeath1 @MJCarty @hilarygallo How's your day progressing folks? I've been profiled as a red classic director with fiery undertones.😠,anger,
I'm sorry. Im much more interested in the #BachelorInParadise rose ceremony than whatever @realDonaldTrump has. #seriously,anger,
Believe me: seasons change. Feelings fade. Life goes on. Do me a favor: endure the late night rage of emotions. (1/2),anger,
They say ur a prdct of ur surroundings. A bit intimidated by the crazy amazing ppl I met @ @codecityco @n8walke @dianap_patton @DrMattKutz😒,anger,
"And we bloody got rid of Gregory so we will have 2 new goalkeepers in the team, what a fantastic start to the season..😠😡",anger,
@cherishnorminah well be offended then cause im speakin truths here ðŸ˜œ,anger,
Apologies don't have to be sincere. They make great place holders while you quietly harbor rage and plot adequate revenge.#TuesdayMotivation,anger,
@RiggsBarstool big revenge guy,anger,
"@markaw214 @appleofeden_3 @jjasq @XxPLWxX Ring a ring of roses isto do with the plague, Im sure that will offend someone",anger,
mood: kinda bitter bc lee hi didn't appear in jaewon debut mv,anger,
@TheAnchoredMrs I was the sixth grade teacher this year and last year the the fifth grade teacher who got mad when they did ðŸ˜‚,anger,
"James to Bayern is probably the smartest choice for him.\n\nAnd, frankly, this kind of scares me ðŸ˜²",anger,
"Lugubrious face, crestfallen eyes, forlorn heart and an agitated soul seeking serenity.",anger,
Fuck me on KIK guys : alice_b21\n#xxx #hot #teen #doggy #wet #snap #nude😠,anger,
@hateweed I had the worst alarm ringtone and would wake up irrationally pissed everyday until I changed it to something nice lol😡,anger,
"i had a good ass day yesterday, went to sleep happy . man i woke up at 6 nigga &amp; im still happy wth , i'd usually be pissed as hell ðŸ˜‚",anger,
"â€œTell me, Doctor, are you afraid of #death?'\n'I guess it depends on how you #die.â€",anger,
Batman like to enrage the heat on the new dimity frock and proposed marriage to me! Polly Shaw will lay me a CBGB crazy balled,anger,
Whoever decided to put chat functions on company websites for customer service deserves all the medals. I hate talking on the phone,anger,
"BUT, I have offended so many people with the idea that conflicts and value judgments are separate that we need to have a talk.",anger,
I want to give spiders emotions and self awareness. Picture if a spider could build resentment toward you. What if it KNEW you were afraid,anger,
I graduated yesterday and already had 8 family members asking what job I've got now ðŸ˜‚ #nightmare,anger,
@iamjannn And life is a nightmare,anger,
10/10 do not recommend burning your scalp in the sun. my parting is glowing red and it burns ðŸ˜‚ whereâ€s a cap when you need one?,anger,
@OfficialPLT Funny how you can tweet new deals but can't reply to my email or my tweet,anger,
"Found out today that you're suppoked to urinate on a jellyfish sting, NOT x jellyroll stain. Sorry, fat stranger.",anger,
Do not linger too long near the howff or you risk the displeasure of a chuhaister with pubes more underwhelming than those of an aurochs.,anger,
@DrewPap85 Never seen a frown in 4 years coaching. Again you have no basis for opinion.😒,anger,
@LadyScully I didn't. We all went out and got pissed down the local instead. ðŸ˜„,anger,
@justicemalala The Guptas is the middle man from hell. ..men with cigars sitting and plotting in the dark of night,anger,
@ebyokeke Lol....anger is not the best defense for attack. \nWait what do u do when ure angry?😡,anger,
@PlumRemson Sorry to offend. Just using some different levels of communications. I hear memes are popular in your circles.,anger,
@__iammike pecks your pout before waddling to the kitchen.,anger,
I'm so nervous I could puke + my body temp is rising ha ha ha ha ha,anger,
Bring back the scratch and sniff Avon books. Then yer da sells Avon wouldn't even be an insult,anger,
@DeeDlams @RanjeniM This meme is #offline #countryduty soldiers engage not insult or belittle,anger,
@sebtsb YOU NEVER TOLD MOI #jkjk,anger,
@snowberrytae When I just added @Gochi_mong on snap yesterday and I watched her stories today....oh lord Iâ€m just torturing myself ðŸ¤¦ðŸ»â€â€ï¸ðŸ˜­,anger,
"When you should be working, but you're shopping amazon prime deals instead... ðŸ˜¦",anger,
@WILLLANNO Man u r just bitter about Manu making great strides...😤,anger,
I own lots of roller skate tools... and my new ones have different sizes on EVERY single screw ðŸ˜­ #newskates #cry,anger,
Exercise Science majors just don't learn how to 'lift weights' there is much more to realize. People need to educate themselves.,anger,
@1stripthetitles There are so many people who will never give up until justice is seen to be done. #Stripthetitles😠,anger,
@wine_mum_ @Bob_Lawblaw Please. Don't insult Goths.,anger,
"@Legendaerie Yeah, she just this tight boiling knot of anxiety and anticipation too. Be writing in a bit - still working around house atm.",anger,
@Jeffwickham @malanmiller the one college stadium I really hope the offense is atrocious Who TF is Derron Smith?,anger,
"@Transition My perception of J culture is that they would be torn between the ritualistic act, and the indignity of the experience :-)",anger,
I've seen some get so discouraged in their old age becos they aren't physically able 2 do the things for God they used 2 do in their youth.,anger,
grand theft auto V use rage engine?\n@RockstarGames Wow .....,anger,
"Some people take being called a 'B****, P****' as an insult, some take it as motivation.😤",anger,
Attention seeker Chris Uhlmann highly aroused over the attention he drew to himself now enjoying some fists of fury time @abcnews @abc730😡,anger,
@ABCTV @AuSenate @annabelcrabb I confess I didn't watch last week. #bad Are you going to do an episode on accessibility?,anger,
I deleted so many ppl off my snap,anger,
I feel so intimidated talking to chicken now that I know how pretty she is,anger,
Perez will gladly give Morata to Chelsea for some Â£60m. It's United he holds a 'fax' grudge with.😡,anger,
its #easy to be #unhappy ðŸ˜,anger,
if jk realize what taehyung did can he do that to taehyung as a revenge? i would love to,anger,
@dweise @ImProspering44 @ajprimiano86 McNabb at times started out bad the defense made plays the offense found rhythm,anger,
There's really #NoTime to wait on the approval of someone who lives their life in #bitterness and #negativity #NoThanks #ImGood🙄😠😒,anger,
@TeamBoA Jim is ok. He refuses to come back to #reality but at least he doesn't #insult like the rest of ignorants...,anger,
R5 fans confuse there hatred for being called a Disney band with hatred for a&amp;a. Sad.🥵,anger,
If I'm talking about the Asian world. Club life.\n\nI'd probably say I might resent dorks. Or like less popular. I don't know the word.🙄,anger,
@SquawkCNBC Know how much in movie sales now&amp; forever in the future that the actors &amp; singers talking their crap about Trump Americans lost?,anger,
"Thankful 4 Mother Nature's help with the 'watering ', downside, my legs are protesting ðŸ˜£ #ouch #snap #crackle #pop rice crispies 4 legs ðŸ˜€",anger,
@weareremixes yeah he's delicious no need to threaten me😤,anger,
It was straight out of Harry Potter' - how a simple Tinder and Chill turned into a fiery reactionary debacle,anger,
"If you try to get rid of #fear and #anger without knowing their meaning, they will grow stronger and return.' \nâ€• Deepak Chopra",anger,
"@BethRigby ...so near yet so far.corbyn +lab doing much better but without even a majority + out of govt 3 times now, resentment will return",anger,
@snowflakenest @bollytoybee @Alexicon83 You need a new tactic post-Trump/Brexit. Hurling that insult around no longer works I'm afraid.,anger,
@mythos1014 I think I will tomorrow. I ain't ready for all those feels though. ðŸ˜¥,anger,
Anger is a loaded weapon...be careful where you point it.' ~ @FSonnenberg #anger,anger,
@shedboy23 @fhathast_tha there was a fair bit of raging folk last night... something to do with pension day?,anger,
its horribly gloomy out rn and im flourishing,anger,
By the time you've checked in online it's the price of a 2 weeks all inclusive holidays to the maldives. @Ryanair😠,anger,
@TuckerCarlson Was DonJr target of #sting b/c #RobGoldstoneEmail has all conspiracy-crime elements? HRC knew b/c tied Trump2Russia by 6/16?😡,anger,
"@Belle_Canberra ya he was asking leading qns to provoke me, I wish I hadnt gotten so upset :)😡",anger,
@OliviaSundberg1 thanks for this â€“ the perspective is shocking. it's getting to a point where it's near that number every week now.,anger,
@SadieAtkins Should have come with us #boiling #kefalonia #pretty,anger,
"Its not only okay to curse, its heathy. The act of profanity is therapeutic &amp; kind, used to burst people from a insulated bubble of #apathy.🙄",anger,
